date,avg_o3,avg_pm10,avg_pm25,max_o3,max_pm10,max_pm25,min_o3,min_pm10,min_pm25
2024-06-12,16,10,34,31,18,60,12,7,23
2024-06-13,14,10,33,22,12,39,7,7,23
2024-06-14,13,7,24,26,11,42,6,4,11
2024-06-15,11,7,21,22,12,45,7,4,12
2024-06-16,18,8,27,28,10,41,10,5,17
2024-06-17,17,12,42,28,14,53,8,9,28
2024-06-18,14,8,24,20,10,40,9,3,5
